Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
9/16/2016,AQS,270530962,1,0.027,ppm,25,Near Road I-35/I-94,17,100,44201,Ozone,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",27,Minnesota,53,Hennepin,44.965242,-93.254759
9/17/2016,AQS,270530962,1,0.016,ppm,15,Near Road I-35/I-94,17,100,44201,Ozone,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",27,Minnesota,53,Hennepin,44.965242,-93.254759
9/18/2016,AQS,270530962,1,0.038,ppm,35,Near Road I-35/I-94,17,100,44201,Ozone,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",27,Minnesota,53,Hennepin,44.965242,-93.254759
9/19/2016,AQS,270530962,1,0.029,ppm,27,Near Road I-35/I-94,17,100,44201,Ozone,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",27,Minnesota,53,Hennepin,44.965242,-93.254759
9/20/2016,AQS,270530962,1,0.027,ppm,25,Near Road I-35/I-94,17,100,44201,Ozone,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",27,Minnesota,53,Hennepin,44.965242,-93.254759
9/21/2016,AQS,270530962,1,0.029,ppm,27,Near Road I-35/I-94,17,100,44201,Ozone,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",27,Minnesota,53,Hennepin,44.965242,-93.254759
9/22/2016,AQS,270530962,1,0.013,ppm,12,Near Road I-35/I-94,14,82,44201,Ozone,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",27,Minnesota,53,Hennepin,44.965242,-93.254759
9/23/2016,AQS,270530962,1,0.017,ppm,16,Near Road I-35/I-94,17,100,44201,Ozone,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",27,Minnesota,53,Hennepin,44.965242,-93.254759
9/24/2016,AQS,270530962,1,0.023,ppm,21,Near Road I-35/I-94,17,100,44201,Ozone,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",27,Minnesota,53,Hennepin,44.965242,-93.254759
9/25/2016,AQS,270530962,1,0.019,ppm,18,Near Road I-35/I-94,17,100,44201,Ozone,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",27,Minnesota,53,Hennepin,44.965242,-93.254759
9/26/2016,AQS,270530962,1,0.022,ppm,20,Near Road I-35/I-94,17,100,44201,Ozone,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",27,Minnesota,53,Hennepin,44.965242,-93.254759
9/27/2016,AQS,270530962,1,0.013,ppm,12,Near Road I-35/I-94,17,100,44201,Ozone,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",27,Minnesota,53,Hennepin,44.965242,-93.254759
